Product_name,offer_price,Original_price,Product_URL
EDDY HAGER,Rs.341,Rs.2599,https://www.flipkart.com/eddy-hager-eh-226-sl-silver-day-date-analog-watch-men/p/itmbbd6924f1d368?pid=WATFNGVVPGJEBKD2&lid=LSTWATFNGVVPGJEBKD2SMDUYP&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_1&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=en_5jXLYf4yLUJ1kyLHsHJL11JzNnTBO8m4K35A1ys3Ohzu5a%2BAm7EymR2JsDv7iG4qQEtImyRjP1W%2F4wYN6ytG3Q%3D%3D&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
FOSSIL,Rs.5697,Rs.9495,https://www.flipkart.com/fossil-jr1157-other-mens-analog-watch-men/p/itmf3zh3ydt5czxh?pid=WATETQSUSVG56HFA&lid=LSTWATETQSUSVG56HFAU1S3J4&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_2&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=en_5jXLYf4yLUJ1kyLHsHJL11JzNnTBO8m4K35A1ys3OhwEjpl%2FzIbdqZdHp%2FaF2DnIBhQvVm359WknySjCWX%2FX2g%3D%3D&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Titan,Rs.1636,Rs.2045,https://www.flipkart.com/titan-nn1773sl02-karishma-analog-watch-men/p/itm878c5fab6da8d?pid=WATF33EEVSYZAHWQ&lid=LSTWATF33EEVSYZAHWQRHCXSF&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_3&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATF33EEVSYZAHWQ.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
CRAB,Rs.269,Rs.799,https://www.flipkart.com/crab-new-stylish-dial-pu-strap-black-king-bracelet-combo-set-men-analog-watch-boys/p/itm7e543ce3c3287?pid=WATFZ3ZS8HRDFF4F&lid=LSTWATFZ3ZS8HRDFF4FTF5PCW&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_4&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFZ3ZS8HRDFF4F.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
SONATA,Rs.1039,Rs.1299,https://www.flipkart.com/sonata-77106sm03-analog-watch-men/p/itm3c5de542ef12d?pid=WATFK6WVZCH8TNKG&lid=LSTWATFK6WVZCH8TNKGJDYZU0&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_5&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFK6WVZCH8TNKG.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
EDDY HAGER,Rs.296,Rs.2599,https://www.flipkart.com/eddy-hager-eh-283-bl-blue-working-day-date-display-analog-watch-men/p/itm9243f1f1b7335?pid=WATFYF9NZGYPY2JZ&lid=LSTWATFYF9NZGYPY2JZZZSKVK&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_6&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFYF9NZGYPY2JZ.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Fogg,Rs.312,Rs.1699,https://www.flipkart.com/fogg-1170-bl-br-unique-new-day-date-analog-watch-men/p/itmfdwp9jgz4gzzu?pid=WATFDWHG9KUWEZFY&lid=LSTWATFDWHG9KUWEZFYIADWCJ&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_7&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFDWHG9KUWEZFY.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Rizzly,Rs.349,Rs.899,https://www.flipkart.com/rizzly-gents-exclusive-3-designer-combo-casual-partywear-formal-stylish-new-boys-mens-analog-watch/p/itmf3zhhgzhwvdyr?pid=WATF3G6WYWJUTDZY&lid=LSTWATF3G6WYWJUTDZYLLQLEO&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_8&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATF3G6WYWJUTDZY.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
LIMESTONE,Rs.322,Rs.1999,https://www.flipkart.com/limestone-ls2804-all-black-mesh-strap-day-date-functioning-quartz-analog-watch-men/p/itmfgebnggz2b2ry?pid=WATFGEADXQVKSHC8&lid=LSTWATFGEADXQVKSHC8ZULZKR&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_9&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFGEADXQVKSHC8.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Rizzly,Rs.199,Rs.1299,https://www.flipkart.com/rizzly-216-blue-sporty-look-designer-boys-men-analog-watch/p/itm2583d3970f0da?pid=WATFVYGAGFASZBKQ&lid=LSTWATFVYGAGFASZBKQLKRU1N&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_10&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFVYGAGFASZBKQ.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Daniel Jubile,Rs.227,Rs.1499,https://www.flipkart.com/daniel-jubile-arrow-blk-analog-watch-men/p/itmf727764f51414?pid=WATFNVGWZCTFUSHG&lid=LSTWATFNVGWZCTFUSHGIQUSKK&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_11&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFNVGWZCTFUSHG.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
